"Date","GDP_Actual","GDP_Forecast","Diff"
2021-01-01,0.0055,-0.0418,-0.0473
2021-02-01,,0.0099,
2021-03-01,,0.02,
2021-04-01,0.0342,0.0048,-0.0293
2021-05-01,,-0.0226,
2021-06-01,,0.0119,
2021-07-01,0.0174,0.0422,0.0248
2021-08-01,,0.0348,
2021-09-01,,0.0377,
2021-10-01,0.045,-0.0214,-0.0664
2021-11-01,,0.0026,
2021-12-01,,-0.0439,
2022-01-01,-0.0055,0.0014,0.0069
2022-02-01,,0.0346,
2022-03-01,,0.0362,
2022-04-01,0.0173,-0.0246,-0.0418
2022-05-01,,-0.03,
2022-06-01,,0.0281,
2022-07-01,-0.0022,-0.0214,-0.0192
2022-08-01,,0.0437,
2022-09-01,,0.037,
2022-10-01,0.0186,0.0361,0.0175
2022-11-01,,0.0419,
2022-12-01,,0.0303,
2023-01-01,0.0119,0.0426,0.0306
2023-02-01,,0.0407,
2023-03-01,,0.0175,
2023-04-01,0.0069,0.0107,0.0038
2023-05-01,,0.0136,
2023-06-01,,0.007,
2023-07-01,-0.0012,0.0059,0.0071
2023-08-01,,0.0078,
2023-09-01,,0.0083,
2023-10-01,-0.058,0.006,0.0639
2023-11-01,,0.0174,
2023-12-01,,-0.0327,
2024-01-01,0.036,0.0083,-0.0277
2024-02-01,,0.0053,
2024-03-01,,0.01,
2024-04-01,0.0046,0.0117,0.0071
2024-05-01,,0.0077,
2024-06-01,,0.0035,
2024-07-01,0.0109,0.0085,-0.0024
2024-08-01,,0.0087,
2024-09-01,,0.0057,
2024-10-01,0.0028,0.0103,0.0075
2024-11-01,,0.0121,
2024-12-01,,0.013,
2025-01-01,0.0145,0.0128,-0.0018
2025-02-01,,0.0046,
2025-03-01,,0.0577,
2025-04-01,-0.0116,0.0075,0.0192
2025-05-01,,0.0414,
2025-06-01,,0.0425,
2025-07-01,0.0289,0.0073,-0.0217
2025-08-01,,0.0393,
2025-09-01,,0.0108,
2025-10-01,0.0081,0.0434,0.0353
2025-11-01,,0.01,
2025-12-01,,0.0113,
2026-01-01,-0.0091,0.0094,0.0185
2026-02-01,,0.0169,
2026-03-01,,0.0098,
2026-04-01,,0.0048,
2026-05-01,,0.0594,
2026-06-01,,0.0594,
