"Date","GDP_Actual","GDP_OutOfSample","GDP_FinalModel","Diff_OutOfSample","Diff_FinalModel"
2021-01-01,0.0055,-0.0418,0.0067,-0.0473,0.0013
2021-02-01,,0.0099,-0.0051,,
2021-03-01,,0.02,-1e-04,,
2021-04-01,0.0342,0.0048,0.0317,-0.0293,-0.0025
2021-05-01,,-0.0226,0.0112,,
2021-06-01,,0.0119,0.0252,,
2021-07-01,0.0174,0.0422,0.0148,0.0248,-0.0026
2021-08-01,,0.0348,0.0252,,
2021-09-01,,0.0377,0.0264,,
2021-10-01,0.045,-0.0214,0.0364,-0.0664,-0.0086
2021-11-01,,0.0026,-0.0051,,
2021-12-01,,-0.0439,-1e-04,,
2022-01-01,-0.0055,0.0014,-0.0048,0.0069,6e-04
2022-02-01,,0.0346,0.0108,,
2022-03-01,,0.0362,0.0328,,
2022-04-01,0.0173,-0.0246,0.0176,-0.0418,3e-04
2022-05-01,,-0.03,0.011,,
2022-06-01,,0.0281,0.0082,,
2022-07-01,-0.0022,-0.0214,0.0027,-0.0192,0.0049
2022-08-01,,0.0437,0.0101,,
2022-09-01,,0.037,0.0032,,
2022-10-01,0.0186,0.0361,0.0167,0.0175,-0.0019
2022-11-01,,0.0419,0.0159,,
2022-12-01,,0.0303,0.0168,,
2023-01-01,0.0119,0.0426,0.0119,0.0306,0
2023-02-01,,0.0407,-0.005,,
2023-03-01,,0.0175,0.011,,
2023-04-01,0.0069,0.0107,0.0064,0.0038,-5e-04
2023-05-01,,0.0136,-0.004,,
2023-06-01,,0.007,-0.0053,,
2023-07-01,-0.0012,0.0059,-0.001,0.0071,3e-04
2023-08-01,,0.0078,-3e-04,,
2023-09-01,,0.0083,6e-04,,
2023-10-01,-0.058,0.006,-0.0468,0.0639,0.0111
2023-11-01,,0.0174,0.0057,,
2023-12-01,,-0.0327,-9e-04,,
2024-01-01,0.036,0.0083,0.0335,-0.0277,-0.0025
2024-02-01,,0.0053,-0.0155,,
2024-03-01,,0.01,-0.0055,,
2024-04-01,0.0046,0.0117,0.0051,0.0071,5e-04
2024-05-01,,0.0077,-0.007,,
2024-06-01,,0.0035,-0.0082,,
2024-07-01,0.0109,0.0085,0.0102,-0.0024,-7e-04
2024-08-01,,0.0087,0.0041,,
2024-09-01,,0.0057,0.002,,
2024-10-01,0.0028,0.0103,0.0055,0.0075,0.0026
2024-11-01,,0.0121,0.0126,,
2024-12-01,,0.013,-0.0074,,
2025-01-01,0.0145,0.0128,0.0131,-0.0018,-0.0014
2025-02-01,,0.0046,0.0087,,
2025-03-01,,0.0577,2e-04,,
2025-04-01,-0.0116,0.0075,-0.0092,0.0192,0.0024
2025-05-01,,0.0414,-0.0019,,
2025-06-01,,0.0425,0.0047,,
2025-07-01,0.0289,0.0073,0.0276,-0.0217,-0.0013
2025-08-01,,0.0393,0.0139,,
2025-09-01,,0.0108,-0.0047,,
2025-10-01,0.0081,0.0434,0.0092,0.0353,0.0011
2025-11-01,,0.01,-0.0074,,
2025-12-01,,0.0113,0.0122,,
2026-01-01,-0.0091,0.0094,-0.0065,0.0185,0.0026
2026-02-01,,0.0169,-0.0031,,
2026-03-01,,0.0098,-0.0077,,
2026-04-01,,0.0048,0.0186,,
2026-05-01,,0.0594,0.0027,,
2026-06-01,,0.0594,0.0027,,
