"Date","GDP_Actual","GDP_OutOfSample","GDP_FinalModel","Diff_OutOfSample","Diff_FinalModel"
2021-01-01,,0.0114,-0.0048,,
2021-02-01,0.0055,0.0066,0.0057,0.0011,2e-04
2021-03-01,,0.0172,0.0102,,
2021-04-01,,0.0548,0.0196,,
2021-05-01,0.0342,0.0567,0.0331,0.0226,-0.0011
2021-06-01,,0.0077,-0.0308,,
2021-07-01,,0.0553,0.0299,,
2021-08-01,0.0174,0.0084,0.0163,-0.009,-0.0012
2021-09-01,,0.0558,0.0238,,
2021-10-01,,0.0017,-0.0014,,
2021-11-01,0.045,0.0558,0.038,0.0108,-0.007
2021-12-01,,0.0561,0.0186,,
2022-01-01,,0.0196,0.0045,,
2022-02-01,-0.0055,-0.007,-0.002,-0.0015,0.0034
2022-03-01,,0.0546,0.0162,,
2022-04-01,,0.018,0.0053,,
2022-05-01,0.0173,-0.0069,0.0161,-0.0241,-0.0011
2022-06-01,,0.0279,0.019,,
2022-07-01,,0.0071,0.009,,
2022-08-01,-0.0022,0.0103,-0.0025,0.0125,-3e-04
2022-09-01,,-0.015,-0.0029,,
2022-10-01,,0.0073,-3e-04,,
2022-11-01,0.0186,0.0139,0.0173,-0.0047,-0.0013
2022-12-01,,-0.0143,0.0064,,
2023-01-01,,0.004,0.0086,,
2023-02-01,0.0119,0.0069,0.0102,-0.005,-0.0018
2023-03-01,,0.0047,0.0017,,
2023-04-01,,0.0033,0.0024,,
2023-05-01,0.0069,0.0046,0.0065,-0.0023,-4e-04
2023-06-01,,0.012,0.0073,,
2023-07-01,,0.0106,0.0052,,
2023-08-01,-0.0012,0.0093,0.0019,0.0105,0.0032
2023-09-01,,0.019,0.0304,,
2023-10-01,,-0.007,-0.0353,,
2023-11-01,-0.058,-0.058,-0.0462,-1e-04,0.0117
2023-12-01,,9e-04,0.0136,,
2024-01-01,,0.0695,0.0272,,
2024-02-01,0.036,0.0207,0.0316,-0.0153,-0.0044
2024-03-01,,0.0104,0.008,,
2024-04-01,,0.0104,0.0131,,
2024-05-01,0.0046,0.014,0.0031,0.0095,-0.0015
2024-06-01,,0.0123,0.0129,,
2024-07-01,,0.01,0.0039,,
2024-08-01,0.0109,0.0094,0.0107,-0.0015,-2e-04
2024-09-01,,0.0052,-0.0358,,
2024-10-01,,0.0068,0.012,,
2024-11-01,0.0028,0.0068,0.0027,0.0039,-1e-04
2024-12-01,,0.0092,0.0042,,
2025-01-01,,0.0556,0.0275,,
2025-02-01,0.0145,-0.0097,0.0122,-0.0242,-0.0023
2025-03-01,,-0.0056,0.0104,,
2025-04-01,,0.0068,0.01,,
2025-05-01,-0.0116,0.0061,-0.0078,0.0177,0.0038
2025-06-01,,0.0062,0.0116,,
2025-07-01,,-0.0453,-0.0435,,
2025-08-01,0.0289,0.0527,0.0294,0.0238,5e-04
2025-09-01,,0.0114,-0.0375,,
2025-10-01,,0.0189,0.018,,
2025-11-01,0.0081,0.0077,0.007,-4e-04,-0.0011
2025-12-01,,0.0072,0.0172,,
2026-01-01,,0.0043,0.0056,,
2026-02-01,-0.0091,0.0113,-0.0052,0.0204,0.0039
2026-03-01,,0.0097,0.0062,,
2026-04-01,,-0.0678,-0.0436,,
2026-05-01,,0.0098,0.0116,,
2026-06-01,,0.0098,0.0116,,
